datetime_utc,value,parameter,unit,sensor_id,location_name,city,country
2016-01-30 01:00:00+00:00,0.0,co,µg/m³,5127,Coronel Norte,Unknown,CL
2016-01-30 01:00:00+00:00,199.4,co,µg/m³,1045,Parque O'Higgins,Unknown,CL
2016-01-30 01:00:00+00:00,0.0,so2,µg/m³,89,Coya Población,Unknown,CL
2016-01-30 01:00:00+00:00,23.13,pm10,µg/m³,87,Gobernación,Unknown,CL
2016-01-30 01:00:00+00:00,8.85714285714286,pm25,µg/m³,161,Maastricht-A2 Kasteel Hillenraadweg,Unknown,NL
2016-01-30 01:00:00+00:00,5.0,no2,µg/m³,231,London Haringey Priory Park South - UKA00568,Unknown,GB
2016-01-30 01:00:00+00:00,2984.0,co,µg/m³,68,Amgalan,Unknown,MN
2016-01-30 01:00:00+00:00,12.0,no2,µg/m³,5009,Ursynów,Unknown,PL
2016-01-30 01:00:00+00:00,-999.0,co,µg/m³,157,Amsterdam-Vondelpark,Unknown,NL
2016-01-30 01:00:00+00:00,201.17,co,µg/m³,85,Zegveld-Oude Meije,Unknown,NL
2016-01-30 01:00:00+00:00,20.0,no2,µg/m³,88,Haringey Roadside,Unknown,GB
2016-01-30 01:00:00+00:00,24.5,co,µg/m³,4385,Talagante,Unknown,CL
2016-01-30 01:00:00+00:00,7975.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 01:00:00+00:00,250.5,co,µg/m³,1410,Concón,Unknown,CL
2016-01-30 01:00:00+00:00,15.07,pm10,µg/m³,5294,Cerro Merquín,Unknown,CL
2016-01-30 01:00:00+00:00,7.79,no2,µg/m³,4608,Hilversum-J. Gerardtsweg,Unknown,NL
2016-01-30 01:00:00+00:00,20.0,pm25,µg/m³,220,Guangzhou,Unknown,CN
2016-01-30 01:00:00+00:00,412.4,co,µg/m³,65,Puente Alto,Unknown,CL
2016-01-30 01:00:00+00:00,218.5,co,µg/m³,166,Amsterdam-Einsteinweg,Unknown,NL
2016-01-30 01:15:00+00:00,3000.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 01:15:00+00:00,1825.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 01:15:00+00:00,600.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 01:30:00+00:00,2131.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 01:30:00+00:00,1634.0,co,µg/m³,5136,MNB,Unknown,MN
2016-01-30 01:30:00+00:00,2630.0,co,µg/m³,68,Amgalan,Unknown,MN
2016-01-30 01:30:00+00:00,2438.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 01:30:00+00:00,631.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 01:45:00+00:00,2271.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
